Smiles,CodeID,MolecularWeight,cLogS,cLogP,HBD,HBA,PSA,ROTATABLE_BONDS,DG,Ki,LIGAND_EFFICIENCY,BEI,SEI,NSEI,NBEI,nBEI,mBEI
Cc1ncsc1C(=O)O,MO00777,143.166,-1.74,0.45,1.0,3.0,50.19,Null,-4.0,1168.63,-0.44,20.4819787455,5.84244464848,0.9774409896907037983021097897,0.3258136632302345994340365966,3.886565478511436239277473665,2.088162860189125284594148278
OCc1sc(nc1C)c1ccc(cc1)C(F)(F)F,MO00853,273.277,-4.61,2.72,1.0,2.0,33.12,Null,-5.8,55.99,-0.32,15.558900063,12.8378307141,2.125944766252508115797614354,0.2362160851391675684219571504,5.507162037608322288258757827,3.688492613910746910352219910
CNCc1ccc(cc1)OC,MO00889,151.208,-1.14,1.6,1.0,2.0,21.26,Null,-4.2,833.8,-0.38,20.3622699144,14.4823053114,1.539469054604860741228373373,0.2799034644736110438597042496,4.120330794367946544383923545,2.258512878311048708665120599
CNCc1ccc(cc1)CC,MO00891,149.236,-2.0,2.87,1.0,1.0,12.03,Null,-4.4,594.9,-0.4,21.6137931268,26.8126020871,3.225556031075034898908748882,0.2932323664613668089917044438,4.266948716233259939658948854,2.399429631124821028678615022
CNCc1ccc(cc1)Cl,MO00897,155.627,-2.25,2.68,1.0,1.0,12.03,Null,-4.3,704.29,-0.43,20.2551515995,26.2032292434,3.152248477979457762733315211,0.3152248477979457762733315211,4.152248477979457779447418094,2.344333423677952457552365020
CNCc1ccccc1Cl,MO00899,155.627,-2.23,2.68,1.0,1.0,12.03,Null,-4.5,502.5,-0.45,21.1972468396,27.421977838,3.298863933907473504320503234,0.3298863933907473504320503234,4.298863933907473504320503234,2.490948879605968231339355553
CNCc1ccncc1,MO00914,122.17,0.1,0.56,1.0,2.0,24.92,Null,-3.9,1383.52,-0.43,23.4019363049,11.472771101,1.429507279184226351694085510,0.3176682842631614114875745579,3.813257067807777569469802288,1.945979132245503769843750609
COC(=O)c1cc2c(s1)ccc(c2)N,MO00936,207.252,-3.55,1.55,1.0,3.0,52.32,Null,-5.1,182.51,-0.36,18.0394559999,7.14585882053,1.246237778300513883657245589,0.2670509524929672607836954833,4.884841370579779701084535488,3.055212065123962915746496620
COC(=O)C1Cc2c(N1)cccc2,MO00997,177.202,-1.7,1.04,1.0,3.0,38.33,Null,-5.5,92.91,-0.42,22.7533410454,10.519012627,1.343979179974516947278957785,0.3101490415325808339874517966,5.145880892230387634799383356,3.280406159190508849153931180
Cc1nc(N)ccc1C#N,MO01041,133.153,-1.14,0.44,1.0,3.0,62.7,Null,-4.9,255.8,-0.49,26.9772326561,5.72902625177,1.197366486619121636690060738,0.3592099459857364910070182213,4.592099459857364898565514973,2.716450415602421111055306441
Clc1cccc(c1)c1scc(n1)C(=O)O,MO01112,239.681,-4.13,2.31,1.0,3.0,50.19,Null,-5.8,55.99,-0.39,17.739785517,8.47158703428,1.417296510835005410531742903,0.2834593021670010821063485805,5.427980791560697480246650508,3.631523140496918393119817240
OCc1cccnc1N1CCCCC1,MO01145,192.26,-1.07,0.82,1.0,3.0,36.36,Null,-5.4,109.99,-0.39,20.5900696866,10.8873674311,1.319548932651008568201845873,0.2827604855680732646146812586,5.104774833631263690397473137,3.242535735929082091638937274
NCc1cccc(c1)CN1CCCCC1,MO01157,204.315,-2.41,2.45,1.0,2.0,29.26,Null,-5.4,109.99,-0.36,19.375213753,13.5292098358,1.979323398976512852302768810,0.2639097865302017136403691747,5.134738057008706926619816811,3.268947049940790535724357120
