Smiles	CodeID	MolecularWeight	cLogS	cLogP	HBD	HBA	PSA	ROTATABLE_BONDS	DG	Ki	LIGAND_EFFICIENCY	BEI	SEI	NSEI	NBEI	nBEI	mBEI
Nc1cccnc1Oc1ccc(c2c1CCC2)C	BTB09397	240.304	-2.53	2.35	1.0	3.0	48.14	Null	-6.7	12.26	-0.37	20.4387339779	10.2025540711	1.637169843272534594815420831	0.2728616405454224324692368052	6.166782034920909824245021714	4.292270529766195405410427066
Nc1ncccc1N	BTB09780	109.131	0.37	-0.62	2.0	3.0	64.93	Null	-4.1	987.12	-0.51	27.5414872839	4.62903133956	1.001876682926406298073380234	0.3757037560974023617775175879	3.908720035771162479861357387	2.043578183570809233327301950
O/N=C/1\CN2CCC1CC2.Cl	BTB09837	176.646	Null	0.83	2.0	3.0	35.83	Null	-4.3	704.29	-0.43	17.8450034418	8.79779089584	1.050749492659819254244438404	0.3152248477979457762733315211	4.152248477979457779447418094	2.399352285628635491918648205
COc1c(OC)ccc(c1Cl)CO	BTB09912	202.636	-2.22	1.19	1.0	3.0	38.69	Null	-4.6	424.45	-0.35	16.6415319197	8.71587868204	1.124057820694023504917090410	0.2593979586216977319039439408	4.486116814388907263157489807	2.678890066050343260721368730
O=c1[nH]nc(c2c1cccc2)Cl	BTB09944	180.594	Null	1.69	1.0	3.0	45.75	Null	-5.9	47.3	-0.49	23.9495158159	9.45385543008	1.441712953087396151156502556	0.360428238271849037789125639	5.404320105309813281192013360	3.581842176611892817226344862
Cc1cccc2c1non2	BTB09969	134.137	-1.11	2.26	0.0	3.0	38.92	Null	-5.3	130.22	-0.53	28.9653287981	9.98284252053	1.295107436329707397391030811	0.3885322308989122192173092434	4.885322308989122192173092434	3.012870898022119171544631731
Cc1ccc(c(c1)C(=O)C)O	BTB10270	150.176	-1.77	1.92	1.0	2.0	37.3	Null	-5.3	130.22	-0.48	25.8717924901	10.416413697	1.942661154494561096086546217	0.3532111189990111083793720395	4.926714994147347227273442382	3.061922841521522877489673377
OC(=O)CCC(=O)c1cccs1	BTB10644	184.214	-2.31	0.74	1.0	3.0	54.37	Null	-4.7	358.53	-0.39	18.7036517251	6.33708754622	1.148491499627413237112539233	0.2871228749068533092781348083	4.524655744929864555476567651	2.710797131755558851070962998
O/N=C/1\CC2CCC(C1)N2C.Cl	BTB10716	190.673	Null	1.08	2.0	3.0	35.83	Null	-4.9	255.8	-0.45	18.8390567089	10.0253962039	1.197366486619121636690060738	0.3265544963506695372791074739	4.633492145015589927811047705	2.872388659556799182181881894
CCOCCc1ccccn1	BTB11182	151.208	-0.35	1.1	0.0	2.0	22.12	Null	-4.2	833.8	-0.38	20.3622699144	13.9192500416	1.539469054604860741228373373	0.2799034644736110438597042496	4.120330794367946544383923545	2.258512878311048708665120599
CNCCc1ccccn1	BTB11191	136.197	Null	2.5	1.0	2.0	24.92	Null	-4.1	987.12	-0.41	22.0682544313	12.0611157656	1.502815024389609447110070352	0.3005630048779218894220140703	4.005630048779218882294968972	2.139797590292880607468073400
CC(=O)c1ccc2c(c1)OCCO2	BTB12187	178.186	-2.01	0.9	0.0	3.0	35.53	Null	-5.2	154.16	-0.4	21.3935342752	10.7290410874	1.270676099450867817313777930	0.2932329460271233424570256762	4.925971650659440235465239117	3.062901877056844694919336447
COC(=O)c1cccc2c1[nH]cc2	BTB12321	175.186	-1.74	2.44	1.0	3.0	42.09	Null	-5.3	130.22	-0.41	22.1782694336	9.23098671653	1.295107436329707397391030811	0.2988709468453170917056224949	4.999265661295958972679297637	3.128821705537583303371326119
Oc1cc(=O)n(c2c1cccc2)C	BTB12329	175.186	-1.5	1.93	1.0	3.0	42.23	Null	-5.8	55.99	-0.45	24.2707153112	10.0684099751	1.417296510835005410531742903	0.3270684255773089408919406698	5.365832884811853007371866657	3.495388929053477318017056238
O=C1CCC2CC1CCC2=O	BTB12430	152.192	-1.14	0.99	0.0	2.0	34.14	Null	-4.9	255.8	-0.45	23.6024197057	10.5216738719	1.796049729928682455035091106	0.3265544963506695372791074739	4.633492145015589927811047705	2.774491284123924945156381120
OC(=O)c1nsc(c1Cl)Cl	BTB12548	198.029	-2.35	1.55	1.0	3.0	50.19	Null	-4.5	502.5	-0.45	16.6584890794	6.57275141245	1.099621311302491168106834411	0.3298863933907473504320503234	4.298863933907473504320503234	2.595592728298993667879440015
OC(=O)C12CC3CC(C1)CC(C2)(C3)O	BTB12757	196.244	-0.9	1.42	2.0	3.0	57.53	Null	-5.1	182.51	-0.36	19.0513510472	6.49871951139	1.246237778300513883657245589	0.2670509524929672607836954833	4.884841370579779701084535488	3.031509722322777760665221207
